,20211,20212,20213,20214,20221,20222,20223,20224,20231,20232,20233,20234,20241,20242,20243
count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
mean,160.57999999999998,178.445,195.16,204.265,197.14,212.62,235.94,205.70499999999998,216.205,227.26999999999998,201.17000000000002,226.42000000000002,226.005,234.09,243.195
std,16.51801440851774,18.603979413018067,19.65756851698603,18.462558056780747,17.19683691845685,18.186786412118,19.12016736328426,16.567511883200794,17.50089283436705,20.435385976291226,19.10602522766052,19.431294347006318,18.40598951428583,18.370634175226517,19.169664837967314
min,148.9,165.29,181.26,191.21,184.98,199.76,222.42,193.99,203.83,212.82,187.66,212.68,212.99,221.1,229.64
25%,154.74,171.8675,188.20999999999998,197.7375,191.06,206.19,229.18,199.8475,210.0175,220.045,194.415,219.55,219.4975,227.595,236.4175
50%,160.57999999999998,178.445,195.16,204.265,197.14,212.62,235.94,205.70499999999998,216.205,227.26999999999998,201.17000000000002,226.42000000000002,226.005,234.09,243.195
75%,166.42,185.02249999999998,202.11,210.7925,203.22,219.04999999999998,242.7,211.5625,222.3925,234.495,207.925,233.29,232.51250000000002,240.585,249.9725
max,172.26,191.6,209.06,217.32,209.3,225.48,249.46,217.42,228.58,241.72,214.68,240.16,239.02,247.08,256.75
