上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:113/12/23
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"3218","大學光","15.79","7.00000000","112","3.48","5.03"
"3219","倚強科","157.14","0.36466706","112","0.83","2.38"
"3221","台嘉碩","53.33","0.70027410","112","2.74","1.24"
"3224","三顧","N/A","0.00000000","112","0.00","3.07"
"3226","至寶電","9.39","0.50000000","112","1.06","1.68"
"3227","原相","23.54","4.51535132","112","1.87","3.26"
"3228","金麗科","N/A","0.00000000","112","0.00","24.00"
"3230","錦明","18.81","0.00000000","112","0.00","4.64"
"3232","昱捷","157.33","0.50000000","112","2.12","1.57"
"3234","光環","N/A","0.00000000","112","0.00","5.13"
"3236","千如","N/A","0.22000000","112","1.07","1.38"
"3252","海灣","N/A","0.00000000","112","0.00","0.50"
"3259","鑫創","N/A","0.00000000","112","0.00","4.47"
"3260","威剛","7.52","3.00000000","112","3.80","1.46"
"3264","欣銓","11.97","3.30000000","112","5.98","1.46"
"3265","台星科","20.00","4.80000000","112","4.17","2.59"
"3268","海德威","N/A","0.00000000","112","0.00","1.69"
"3272","東碩","N/A","0.00000000","112","0.00","1.10"
"3276","宇環","127.08","0.20000000","112","1.31","1.33"
"3284","太普高","11.34","0.60000000","112","1.94","2.27"
"3285","微端","32.35","1.00000000","112","3.72","1.93"
"3287","廣寰科","15.91","0.84392900","112","2.54","2.49"
"3288","點晶","N/A","0.00000000","112","0.00","3.69"
"3289","宜特","23.68","3.72716138","112","2.68","3.01"
"3290","東浦","19.18","0.99525139","112","3.16","1.72"
"3293","鈊象","34.58","45.00000000","112","4.55","20.35"
"3294","英濟","59.78","0.00000000","112","0.00","1.58"
"3297","杭特","N/A","0.00000000","112","0.00","1.32"
"3303","岱稜","14.04","1.75000000","112","3.36","2.32"
"3306","鼎天","20.57","1.30000000","112","2.24","0.92"
"3310","佳穎","30.53","4.29970743","112","4.65","3.53"
"3313","斐成","10.96","0.00000000","112","0.00","1.53"
"3317","尼克森","20.84","1.80013374","112","3.82","1.28"
"3322","建舜電","N/A","0.22554785","112","1.33","1.22"
"3323","加百裕","N/A","0.00000000","112","0.00","1.26"
"3324","雙鴻","37.29","6.34797488","112","0.94","7.15"
"3325","旭品","N/A","0.00000000","112","0.00","1.78"
"3332","幸康","18.89","1.60000000","112","4.00","1.12"
"3339","泰谷","172.73","0.00000000","112","0.00","2.71"
"3349","寶德","N/A","0.00000000","112","0.00","2.45"
"3354","律勝","N/A","0.20000000","112","0.90","1.80"
"3357","臺慶科","19.12","4.50000000","112","3.85","1.67"
"3360","尚立","N/A","0.00000000","112","0.00","1.29"
"3362","先進光","80.31","1.00000000","112","0.48","7.68"
"3363","上詮","N/A","0.50000000","112","0.21","9.34"
"3372","典範","N/A","0.00000000","112","0.00","1.52"
"3373","熱映","N/A","1.00000000","112","4.96","1.00"
"3374","精材","34.18","2.00000000","112","0.96","6.53"
"3379","彬台","36.82","0.20000000","112","0.49","2.60"
"3388","崇越電","17.45","3.10000000","112","4.49","1.14"
"3390","旭軟","28.17","0.70000000","112","2.67","1.46"
"3402","漢科","15.59","4.50000000","112","4.43","3.82"
"3426","台興","15.55","2.00000000","112","4.15","1.75"
"3430","奇鈦科","15.00","2.00000000","112","3.32","1.88"
"3434","哲固","24.52","0.50000000","112","1.77","2.36"
"3438","類比科","48.86","0.50000000","112","0.78","1.64"
"3441","聯一光","53.66","0.50000000","112","1.39","1.86"
"3444","利機","47.44","2.50000000","112","3.21","3.34"
"3455","由田","24.69","5.00000000","112","4.22","2.87"
"3465","進泰電子","N/A","3.00000000","112","5.71","2.28"
"3466","德晉","N/A","0.00000000","112","0.00","4.90"
"3479","安勤","14.01","5.98868238","112","6.74","2.03"
"3483","力致","23.66","5.04975935","112","3.37","2.73"
"3484","崧騰","14.83","1.19989460","112","2.14","1.46"
"3489","森寶","N/A","0.40000000","112","1.55","1.76"
"3490","單井","11.55","1.20000000","112","4.03","1.22"
"3491","昇達科","46.88","3.35101141","112","1.06","7.74"
"3492","長盛","21.89","0.33000000","112","1.32","1.44"
"3498","陽程","N/A","0.00000000","112","0.00","1.57"
"3499","環天科","N/A","0.00000000","112","0.00","2.16"
"3508","位速","N/A","0.00000000","112","0.00","3.94"
"3511","矽瑪","N/A","0.00000000","112","0.00","2.14"
"3512","皇龍","9.34","3.20569069","112","10.83","1.39"
"3516","亞帝歐","97.29","0.20000000","112","0.86","0.91"
"3520","華盈","245.63","0.10000000","112","0.51","1.69"
"3521","鴻翊","N/A","0.00000000","112","0.00","2.33"
"3522","御嵿","N/A","0.00000000","112","0.00","2.93"
"3523","迎輝","N/A","0.00000000","112","0.00","2.67"
"3526","凡甲","17.69","11.39277243","112","4.29","5.13"
"3527","聚積","1140.00","2.00000000","112","2.92","1.26"
"3529","力旺","144.50","17.49899000","112","0.52","81.80"
"3531","先益","42.78","1.70000000","112","6.31","0.90"
"3537","堡達","19.50","2.50000000","112","4.58","2.54"
"3540","曜越","N/A","0.89626600","112","2.54","1.44"
"3541","西柏","N/A","0.00000000","112","0.00","2.25"
"3546","宇峻","18.20","4.50000014","112","5.84","2.71"
"3548","兆利","20.80","4.50000000","112","2.45","2.14"
"3551","世禾","20.56","2.80000000","112","2.20","1.93"
"3552","同致","38.83","3.00000000","112","3.22","1.97"
"3555","博士旺","N/A","0.00000000","112","0.00","3.59"
"3556","禾瑞亞","90.64","0.90000000","112","2.11","2.38"
"3558","神準","42.31","4.00000000","112","1.91","2.21"
"3564","其陽","73.67","0.35000000","112","0.48","3.09"
"3567","逸昌","14.64","2.70000000","112","8.82","1.77"
"3570","大塚","14.39","8.00000000","112","4.57","3.18"
"3577","泓格","39.88","1.00000000","112","1.57","3.12"
"3580","友威科","18.19","2.02000000","112","2.31","3.38"
"3581","博磊","1703.33","0.50000000","112","0.98","3.13"
"3587","閎康","24.00","8.92658585","112","3.55","3.52"
"3594","磐儀","75.35","0.60000000","112","1.12","2.31"
"3597","映興","85.71","0.30000000","112","0.71","2.82"
"3609","三一東林","N/A","0.00000000","112","0.00","6.13"
"3611","鼎翰","13.52","12.99793213","112","6.52","1.85"
"3615","安可","82.00","0.70000000","112","2.44","0.87"
"3623","富晶通","N/A","0.00000000","112","0.00","1.86"
"3624","光頡","23.58","1.20000000","112","2.78","1.51"
"3625","西勝","N/A","0.00000000","112","0.00","2.73"
"3628","盈正","28.81","2.00000000","112","4.23","1.28"
"3629","地心引力","N/A","0.00000000","112","0.00","9.28"
"3630","新鉅科","N/A","0.00000000","112","0.00","1.98"
"3631","晟楠","N/A","0.00000000","112","0.00","2.23"
"3632","研勤","N/A","0.00000000","112","0.00","3.59"
"3646","艾恩特","17.58","1.50000000","112","5.24","2.06"
"3663","鑫科","280.00","0.58697327","112","0.78","4.50"
"3664","安瑞-KY","2400.00","0.00000000","112","0.00","4.78"
"3666","光耀","N/A","0.00000000","112","0.00","3.39"
"3672","康聯訊","N/A","0.00000000","112","0.00","2.26"
"3675","德微","30.21","5.00000000","112","2.20","4.51"
"3680","家登","40.65","7.50736239","112","1.50","4.95"
"3684","榮昌","26.18","0.80000000","112","1.80","2.10"
"3685","元創精密","N/A","0.00000000","112","0.00","1.53"
"3687","歐買尬","37.27","1.57424091","112","1.75","1.85"
"3689","湧德","21.12","2.44582910","112","2.40","2.19"
"3691","碩禾","N/A","0.00000000","112","0.00","1.06"
"3693","營邦","14.00","10.00000000","112","3.01","2.95"
"3707","漢磊","N/A","0.00000000","112","0.00","2.30"
"3709","鑫聯大投控","18.82","0.80000000","112","2.64","1.38"
"3710","連展投控","N/A","0.00000000","112","0.00","1.85"
"3713","新晶投控","N/A","0.00000000","112","0.00","2.66"
"4102","永日","14.78","0.80000000","112","2.65","1.91"
"4105","東洋","16.27","3.50000000","112","4.78","2.93"
"4107","邦特","16.81","4.50000000","112","3.72","2.55"
"4109","加捷生醫","5.49","0.50000000","112","2.29","1.59"
"4111","濟生","22.24","1.00000000","112","3.60","1.29"
"4113","聯上","9.80","0.00000000","112","0.00","1.49"
"4114","健喬","20.36","1.60000000","112","4.76","1.99"
"4116","明基醫","18.78","2.00000000","112","4.11","1.97"
"4120","友華","21.73","1.00000000","112","2.09","0.79"
"4121","優盛","N/A","0.50000000","112","3.13","0.91"
"4123","晟德","N/A","1.43061008","112","3.39","1.58"
"4126","太醫","16.63","4.80000000","112","5.07","2.43"
